Title,Artist,Album
DON'T BELIEVE IT,John Summit & Absolutely,CTRL ESCAPE
Through the Fire,Chaka Khan,"Epiphany: The Best of Chaka Khan, Vol. 1"
Fantasy,Mariah Carey,Greatest Hits
Nice To Each Other,Olivia Dean,Nice To Each Other - Single
"Piano Concerto No. 3 in C Major, Op. 26: I. Andante - Allegro","Lang Lang, Sir Simon Rattle & Berlin Philharmonic",Prokofiev: Piano Concerto No. 3 - Bartók: Piano Concerto No. 2 (Deluxe Version with Video)
Sarà Perché Ti Amo,Ricchi & Poveri,Nur das Beste: Ricchi e Poveri
Santa Monica,Everclear,Ten Years Gone - The Best of Everclear 1994-2004
Hanging Out To Dry,Florence Road,Spring Forward - EP
London Song,Ninajirachi,I Love My Computer
JOYRIDE (Radio Edit),Kesha,JOYRIDE (The Remixes)
Warm Safe Place,Staind,Break the Cycle
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe! - Single"
Strategy,Olivia Marsh,Meanwhile - EP
The Let Out,J. Cole,Disc 29
Solo,Myles Smith,Solo - Single
Notting Hill,Suki Waterhouse,Loveland (Bonus Track Version)
Conquer The World,The Dreggs,The Art of Uncommon Practice
Saturn,SZA,Saturn - Single
Take My Hand,Simple Plan,Simple Plan
A Couple Minutes,Olivia Dean,The Art of Loving
Free Bird,Lynyrd Skynyrd,20th Century Masters: The Millennium Collection: Best Of Lynyrd Skynyrd
Gangsta's Paradise (feat. L.V.) [2023 Remaster],Coolio,Gangsta's Paradise (Deluxe Edition)
Walk of Fame (feat. Brittany Howard),Miley Cyrus,Something Beautiful
Own Little World,Celldweller,Celldweller
Hark the Sound,The Clef Hangers,Sounds of Carolina
expectations,Olivia Rodrigo,you seem pretty sad for a girl so in love
Heya (Opiuo Remix),CloZee,Neon Jungle Remixes
Virgen de La Candelaria (with Los Cumbiamberos del Pueblo),Andrés Landero,¡Por Ahí es Que Va... La Cosa! (with Los Cumbiamberos del Pueblo) [2024 Remastered Version]
Don’t Tell On Me,Jason Aldean,Songs About Us
Mist (Instrumental),Dev1lHawk & xaviorthemachine,Mist (Instrumental) - Single
Amarillo by Morning,George Strait,Strait From the Heart
Francis Forever,Mitski,Bury Me At Makeout Creek
sense (is),hemlocke springs,the apple tree under the sea
Midnight in Harlem,Tedeschi Trucks Band,Revelator
White Horse (Taylor’s Version),Taylor Swift,Fearless (Taylor's Version)
Sunflower (Spider-Man: Into the Spider-Verse),Post Malone & Swae Lee,Hollywood's Bleeding
Oil and Water,Incubus,Light Grenades
GWEN STEFANI,Waterparks,JINX
As,Stevie Wonder,Songs in the Key of Life
It's My House,Diana Ross,The Motown Anthology
Saltwater,Geowulf,Great Big Blue
O-o-h Child (Remastered),The Five Stairsteps,Stairsteps (Bonus Track Version)
Red,Taylor Swift,Red
Synchronicity I (Remastered 2003),The Police,Synchronicity (Remastered 2003)
Peaches (feat. Daniel Caesar & GIVĒON),Justin Bieber,Justice
360,Charli xcx,360 - Single
Under Pressure,Queen & David Bowie,Best of Bowie
CALL ME BABY,EXO,The 2nd Album ‘EXODUS’
El Chico del Apartamento 512,Selena,Amor Prohibido (Bonus Track Version)
Tommy's Party (Audiotree Live),Peach Pit,Peach Pit (Audiotree Live) - EP
CIEL,GIMS,LE NORD SE SOUVIENT
What I Am,Edie Brickell & New Bohemians,Shooting Rubberbands at the Stars
Are You Satisfied?,Marina and The Diamonds,The Family Jewels
Choosin' Texas,Ella Langley,Choosin' Texas - Single
Loser,Tame Impala,Loser - Single
Old Technology,Anthony Child,"Electronic Recordings from Maui Jungle, Vol. 2"
Losing You,Solange,True
Self Aware,Temper City,Self Aware - Single
happens,Elbi Lewes,happens - Single
I Follow You,Melody's Echo Chamber,Melody's Echo Chamber
Andromeda,Weyes Blood,Titanic Rising
Never Gonna Give You Up (Pianoforte),Rick Astley,The Best Of Me: Never Edition
Come What May,Nicole Kidman & Ewan McGregor,Music From Baz Luhrmann's Film Moulin Rouge (Original Motion Picture Soundtrack)
Lost In Paradise,Rihanna,Unapologetic (Deluxe Version)
Hips Don't Lie (El Dorado World Tour Live),Shakira,Shakira in Concert: El Dorado World Tour Live
Conceited,Lola Young,Conceited - Single
Detonator,Detox Unit,Detonator - Single
Human Being,Anna Vaus,Human Being - Single
Sweet Baby James,James Taylor,Sweet Baby James (Remastered)
Mirror,Jeff Tweedy,Twilight Override
Haircut,Noah Kahan,The Great Divide
Otherside,Red Hot Chili Peppers,Californication (Deluxe Edition)
Disco Snails,Vulfmon & Zachary Barker,Dot
Carry On Wayward Son,Kansas,Leftoverture (Expanded Edition)
Rolling in the Deep,Adele,21
The Old Religion,Florence + the Machine,Everybody Scream
Patience,Tame Impala,Patience - Single
Tiny Dancer,Elton John,Almost Famous (Music from the Motion Picture)
Want Want Want,Annabelle Dinda,Fictional States of Distress - Single
Heat Waves,Glass Animals,Dreamland
